Proximity,City,Year,Last,First
Inland,Warren (OH),1971,148,268
Inland,Titusville,1971,149,268
Inland,Warren (PA),1949,149,268
Inland,Titusville,1992,150,268
Inland,Jamestown,1967,150,268
Inland,Warsaw,1967,151,268
Inland,Titusville,1949,159,268
Inland,Titusville,1983,160,268
Inland,Jamestown,1995,127,267
Inland,Jamestown,1974,128,267
Inland,Franklin,1974,130,267
Inland,Warren (PA),1974,131,267
Inland,Warren (OH),1993,141,267
Inland,Jamestown,1954,142,267
Coastal,Buffalo,1963,144,267
Inland,Warren (OH),1974,147,267
Inland,Warsaw,1983,160,267
Inland,Titusville,1972,163,267
Inland,Warsaw,1972,163,267
Inland,Titusville,1981,141,266
Inland,Jamestown,1963,144,266
Inland,Titusville,1948,147,266
Inland,Titusville,1974,148,266
Inland,Jamestown,1999,117,265
Inland,Warren (OH),1999,117,265
Inland,Titusville,1999,121,265
Inland,Warren (OH),1991,124,265
Inland,Akron,1956,145,265
Inland,Titusville,1997,147,265
Inland,Warsaw,1962,132,264
Inland,Jamestown,1973,137,264
Inland,Warren (PA),1979,137,263
Inland,Warsaw,1979,137,263
Inland,Warsaw,1993,137,263
Inland,Titusville,1979,138,263
Inland,Warsaw,1973,139,262
Inland,Titusville,1950,169,261
Inland,Jamestown,1986,124,260
Inland,Franklin,1959,129,260
Inland,Warren (OH),1959,129,260
Inland,Titusville,1959,136,260
Inland,Warren (PA),1959,136,260
Inland,Jamestown,1959,136,260
Inland,Warsaw,1959,137,260
Inland,Titusville,1953,149,260
Inland,Titusville,1961,150,260
Inland,Warren (OH),1950,128,259
Inland,Jamestown,1966,153,259
Inland,Titusville,1966,154,259
Inland,Warsaw,1953,124,258
Inland,Jamestown,1975,134,258
Inland,Warren (PA),1963,144,257
Inland,Warsaw,1963,145,257
Inland,Titusville,1964,157,257
Inland,Warsaw,1964,157,257
Inland,Titusville,1963,174,257
Inland,Jamestown,1955,138,256
Inland,Warsaw,1955,140,256
Inland,Titusville,1995,128,254
Inland,Warren (OH),1995,129,254
Inland,Titusville,1975,134,254
Inland,Titusville,1956,147,254
Inland,Warsaw,1956,147,254
Inland,Titusville,1967,152,254
Inland,Jamestown,2012,121,253
Inland,Warsaw,1957,137,252
Inland,Titusville,1957,149,252
Inland,Titusville,1951,134,251
Inland,Titusville,1955,141,251
Inland,Warsaw,1986,154,251
Inland,Jamestown,1962,124,250
Inland,Titusville,1962,132,249
Inland,Warsaw,1965,164,242
Inland,Warsaw,1982,124,241
Inland,Warren (OH),1982,125,241
Inland,Jamestown,1982,130,241
Inland,Titusville,1982,131,241
