Proximity,City,Year,Last,First
Inland,Akron,1984,137,307
Coastal,Cleveland,1984,137,307
Coastal,Cleveland,1963,144,307
Coastal,Sandusky,2002,97,306
Coastal,Painesville,2010,100,306
Coastal,Sandusky,2010,101,306
Inland,Akron,2014,106,306
Coastal,Cleveland,2009,107,306
Coastal,Sandusky,1951,108,306
Coastal,Cleveland,1951,110,306
Coastal,Buffalo,2014,114,306
Coastal,Cleveland,2006,116,306
Coastal,Sandusky,1993,118,306
Coastal,Buffalo,1996,119,306
Inland,Akron,1963,122,306
Coastal,Erie Airport,2006,143,306
Coastal,Sandusky,2006,81,305
Coastal,Buffalo,2010,90,305
Coastal,North East,1954,99,305
Coastal,Sandusky,1954,99,305
Coastal,Cleveland,2010,109,305
Coastal,Erie Airport,1951,111,305
Coastal,North East,2010,113,305
Coastal,North East,2000,117,305
Inland,Akron,2010,118,305
Coastal,Buffalo,2016,118,305
Coastal,Sandusky,1996,118,305
Coastal,Buffalo,1968,119,305
Coastal,Painesville,1968,119,305
Inland,Akron,1968,127,305
Coastal,North East,1968,128,305
Coastal,Erie Airport,1968,128,305
Inland,Franklin,2017,129,305
Inland,Jamestown,2017,130,305
Coastal,Erie Airport,2010,130,305
Inland,Akron,1996,135,305
Coastal,Cleveland,1996,135,305
Inland,Franklin,1984,138,305
Coastal,Cleveland,2002,100,304
Coastal,Painesville,2002,100,304
Coastal,Erie Airport,1998,101,304
Coastal,Sandusky,1975,105,304
Coastal,Sandusky,2008,106,304
Coastal,Buffalo,1988,113,304
Coastal,Painesville,1980,115,304
Coastal,North East,1988,116,304
Coastal,Erie Airport,1988,116,304
Coastal,Painesville,1975,117,304
Inland,Warsaw,1998,118,304
Coastal,North East,1998,118,304
Coastal,Cleveland,1998,118,304
Coastal,Erie Airport,2000,119,304
Coastal,Cleveland,1968,128,304
Coastal,Buffalo,1949,131,304
Coastal,Cleveland,1954,99,303
Coastal,Painesville,1954,99,303
Coastal,Buffalo,2000,104,303
Coastal,Sandusky,1983,111,303
Coastal,Buffalo,1975,112,303
Coastal,North East,1975,118,303
Coastal,Buffalo,1998,118,303
Coastal,Cleveland,2000,118,303
Inland,Warren (PA),1998,119,303
Inland,Franklin,1998,119,303
Inland,Franklin,2005,126,303
Inland,Akron,1983,130,303
Coastal,North East,1983,130,303
Coastal,Cleveland,1983,130,303
Coastal,Painesville,1983,130,303
Coastal,Erie Airport,1954,141,303
Coastal,Sandusky,1959,88,302
Coastal,Painesville,2011,91,302
Coastal,Cleveland,2011,93,302
Coastal,Painesville,1985,100,302
